num_consumers;num_shops;avg_fun;avg_shop_balance;avg_consumer_balance
754;20;11.72;98.60;21.85
756;20;12.65;111.40;21.49
758;20;13.56;124.60;21.27
760;20;12.95;115.85;21.41
762;20;13.69;118.45;21.39
764;20;13.34;116.10;21.30
766;20;12.80;113.40;21.58
768;20;11.87;105.30;21.79
770;20;11.11;97.15;21.96
772;20;13.66;126.25;21.21
774;20;11.52;105.20;21.77
776;20;12.92;116.00;21.55
778;20;14.35;134.40;21.16
780;20;13.88;122.30;21.23
782;20;11.61;103.60;22.07
784;20;14.33;127.40;21.21
786;20;11.12;100.00;21.83
788;20;13.69;123.15;21.50
790;20;11.84;106.00;21.87
792;20;13.17;123.05;21.47
794;20;12.41;117.60;21.45
796;20;13.10;120.95;21.44
798;20;12.97;128.05;21.25
800;20;13.74;131.00;21.15
802;20;10.98;100.10;21.95
804;20;9.92;96.60;21.85
806;20;13.51;131.65;21.26
808;20;11.68;111.60;21.76
810;20;13.70;132.90;21.24
812;20;12.49;118.50;21.79
814;20;12.35;119.60;21.57
816;20;11.00;104.55;21.90
818;20;9.16;89.25;22.30
820;20;13.74;128.90;21.28
822;20;11.39;114.10;21.64
824;20;12.87;125.35;21.53
826;20;9.14;88.95;22.03
828;20;11.72;119.65;21.60
830;20;12.25;116.95;21.64
832;20;12.15;114.70;21.57
834;20;9.54;94.45;22.19
836;20;14.15;137.15;21.25
838;20;12.53;123.10;21.51
840;20;12.68;117.40;21.65
842;20;11.27;110.70;21.86
844;20;11.08;109.45;22.03
846;20;11.72;112.95;21.89
848;20;10.01;99.25;22.24
850;20;10.56;100.65;22.10
852;20;13.04;130.15;21.50
854;20;12.09;121.30;21.66
856;20;10.98;113.90;21.60
858;20;11.93;123.65;21.68
860;20;11.72;114.10;21.98
862;20;10.21;105.30;21.97
864;20;10.26;108.45;21.96
866;20;12.12;126.90;21.63
868;20;11.78;117.95;21.65
870;20;12.51;127.80;21.47
872;20;12.25;126.00;21.34
874;20;11.45;114.00;21.83
876;20;10.15;104.35;22.04
878;20;12.83;129.25;21.44
880;20;10.76;109.10;22.03
882;20;11.07;113.25;21.91
884;20;10.72;109.95;22.03
886;20;11.45;121.30;21.77
888;20;12.07;127.05;21.72
890;20;10.41;101.75;22.20
892;20;10.34;106.30;22.26
894;20;11.31;116.50;21.80
896;20;11.60;121.90;21.74
898;20;11.13;116.55;21.96
900;20;7.90;82.35;22.60
902;20;10.49;110.95;21.96
904;20;8.32;93.70;22.44
906;20;11.02;123.00;21.83
908;20;10.38;108.95;22.06
910;20;10.53;114.80;21.92
912;20;10.92;115.05;22.04
914;20;9.60;103.80;22.45
916;20;10.87;119.15;21.86
918;20;10.64;115.50;22.17
920;20;10.20;109.15;22.07
922;20;9.74;105.05;22.16
924;20;9.10;101.40;22.27
926;20;9.80;110.50;22.17
928;20;11.54;119.90;21.74
930;20;10.88;122.20;22.07
932;20;9.32;101.50;22.25
934;20;11.26;126.30;21.76
936;20;9.02;97.25;22.35
938;20;10.10;113.20;22.17
940;20;12.42;132.85;21.64
942;20;10.43;117.40;22.07
944;20;10.00;110.80;22.20
946;20;10.86;120.95;21.93
948;20;10.54;116.40;22.05
950;20;9.70;105.65;22.26
952;20;11.72;130.20;21.69
954;20;11.52;128.50;21.72
956;20;11.75;129.15;21.89
958;20;10.90;123.95;21.79
960;20;9.44;105.30;22.30
962;20;10.94;127.55;21.69
964;20;9.91;117.65;22.06
966;20;10.55;117.15;22.20
968;20;11.32;128.45;21.83
970;20;9.04;103.50;22.41
972;20;11.51;133.40;21.78
974;20;11.39;129.60;21.81
976;20;9.95;115.45;22.25
978;20;10.72;121.30;21.98
980;20;10.30;118.70;22.17
982;20;10.72;123.75;21.87
984;20;11.53;135.30;21.79
986;20;9.59;113.90;22.04
988;20;7.65;86.00;22.76
990;20;9.92;114.20;22.19
992;20;8.67;98.55;22.43
994;20;10.08;119.45;22.00
996;20;8.12;94.75;22.65
998;20;8.93;103.60;22.58
1000;20;8.41;101.50;22.56
